2025-07-23 13:39:37.311 INFO [common.LoggingManager initialize] Logging system initialized
2025-07-23 13:39:37.342 INFO [client.ClientUI main] Starting Secure File Transfer Client application
2025-07-23 13:39:37.772 INFO [client.ClientUI lambda$main$25] Client UI initialized and displayed
2025-07-23 13:39:52.268 INFO [client.Client connect] Connected to server: localhost:9999
2025-07-23 13:39:52.270 INFO [common.LoggingManager logSecurity] [SECURITY] Established socket connection to localhost:9999
2025-07-23 13:39:52.270 INFO [common.LoggingManager logSecurity] [SECURITY] Creating user object with credentials for: Bob
2025-07-23 13:39:52.499 INFO [common.LoggingManager logSecurity] [SECURITY] Loading transfer history for user: Bob
2025-07-23 13:39:52.506 INFO [client.TransferHistory loadHistory] Loaded 2 transfer records from data/Bob_transfer_history.dat
2025-07-23 13:39:52.511 INFO [common.LoggingManager logTransfer] [TRANSFER:a99474ea-9c30-46cd-bc05-e081b7b9db0c] Loaded transfer record: File: Enterprice Software.pdf, Status: COMPLETED, From: Bob, To: Alice
2025-07-23 13:39:52.511 INFO [common.LoggingManager logTransfer] [TRANSFER:7c9933dd-ed5a-440d-a6bc-0d5bf0e6bd61] Loaded transfer record: File: Enterprice Software.pdf, Status: COMPLETED, From: Bob, To: Alice
2025-07-23 13:39:52.511 INFO [common.LoggingManager logSecurity] [SECURITY] Sending authentication request to server
2025-07-23 13:39:52.515 INFO [common.LoggingManager logSecurity] [SECURITY] Session token received: 257db5ec...
2025-07-23 13:39:52.516 INFO [common.LoggingManager logSecurity] [SECURITY] Session refresh timer started
2025-07-23 13:39:52.516 INFO [client.Client login] Logged in as: Bob
2025-07-23 13:39:52.517 INFO [common.LoggingManager logSecurity] [SECURITY] Authentication successful for user: Bob
2025-07-23 13:39:52.518 INFO [client.TransferHistory loadHistory] Loaded 2 transfer records from data/Bob_transfer_history.dat
2025-07-23 13:39:52.519 INFO [common.LoggingManager logTransfer] [TRANSFER:a99474ea-9c30-46cd-bc05-e081b7b9db0c] Loaded transfer record: File: Enterprice Software.pdf, Status: COMPLETED, From: Bob, To: Alice
2025-07-23 13:39:52.519 INFO [common.LoggingManager logTransfer] [TRANSFER:7c9933dd-ed5a-440d-a6bc-0d5bf0e6bd61] Loaded transfer record: File: Enterprice Software.pdf, Status: COMPLETED, From: Bob, To: Alice
2025-07-23 13:40:02.918 INFO [common.LoggingManager logSecurity] [SECURITY] Public key validation passed - RSA 2048 bits, exponent: 65537
2025-07-23 13:40:02.919 INFO [common.LoggingManager logSecurity] [SECURITY] Public key validation passed - RSA 2048 bits, exponent: 65537
2025-07-23 13:40:02.929 INFO [common.LoggingManager logSecurity] [SECURITY] Using validated public key for Alice, fingerprint: b46e6defaab9c2ed...
2025-07-23 13:40:05.045 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 8 of size 4096
2025-07-23 13:40:05.046 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 9 of size 4096
2025-07-23 13:40:05.046 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 10 of size 4096
2025-07-23 13:40:05.047 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 11 of size 4096
2025-07-23 13:40:05.048 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 12 of size 4096
2025-07-23 13:40:05.048 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 13 of size 4096
2025-07-23 13:40:05.049 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 14 of size 4096
2025-07-23 13:40:05.049 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 15 of size 4096
2025-07-23 13:40:05.050 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 16 of size 4096
2025-07-23 13:40:05.054 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 17 of size 4096
2025-07-23 13:40:05.055 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 18 of size 4096
2025-07-23 13:40:05.055 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 19 of size 4096
2025-07-23 13:40:05.056 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 20 of size 4096
2025-07-23 13:40:05.056 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 21 of size 4096
2025-07-23 13:40:05.057 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 22 of size 4096
2025-07-23 13:40:05.057 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 23 of size 4096
2025-07-23 13:40:05.057 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 24 of size 4096
2025-07-23 13:40:05.058 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 25 of size 4096
2025-07-23 13:40:05.058 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 26 of size 4096
2025-07-23 13:40:05.059 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 27 of size 4096
2025-07-23 13:40:05.059 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 28 of size 4096
2025-07-23 13:40:05.060 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 29 of size 4096
2025-07-23 13:40:05.060 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 30 of size 4096
2025-07-23 13:40:05.060 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 31 of size 4096
2025-07-23 13:40:05.061 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 32 of size 4096
2025-07-23 13:40:05.061 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 33 of size 4096
2025-07-23 13:40:05.062 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 34 of size 4096
2025-07-23 13:40:05.062 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 35 of size 4096
2025-07-23 13:40:05.062 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 36 of size 4096
2025-07-23 13:40:05.063 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 37 of size 4096
2025-07-23 13:40:05.063 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 38 of size 4096
2025-07-23 13:40:05.063 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 39 of size 4096
2025-07-23 13:40:05.064 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 40 of size 4096
2025-07-23 13:40:05.064 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 41 of size 4096
2025-07-23 13:40:05.064 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 42 of size 4096
2025-07-23 13:40:05.065 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 43 of size 4096
2025-07-23 13:40:05.065 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 44 of size 4096
2025-07-23 13:40:05.065 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 45 of size 4096
2025-07-23 13:40:05.066 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 46 of size 4096
2025-07-23 13:40:05.066 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 47 of size 4096
2025-07-23 13:40:05.066 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 48 of size 4096
2025-07-23 13:40:05.067 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 49 of size 4096
2025-07-23 13:40:05.067 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 50 of size 4096
2025-07-23 13:40:05.067 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 51 of size 4096
2025-07-23 13:40:05.068 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 52 of size 4096
2025-07-23 13:40:05.068 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 53 of size 4096
2025-07-23 13:40:05.068 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 54 of size 4096
2025-07-23 13:40:05.069 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 55 of size 4096
2025-07-23 13:40:05.069 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 56 of size 4096
2025-07-23 13:40:05.069 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 57 of size 4096
2025-07-23 13:40:05.070 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 58 of size 4096
2025-07-23 13:40:05.070 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 59 of size 4096
2025-07-23 13:40:05.070 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 60 of size 4096
2025-07-23 13:40:05.071 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 61 of size 4096
2025-07-23 13:40:05.071 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 62 of size 4096
2025-07-23 13:40:05.071 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 63 of size 4096
2025-07-23 13:40:05.072 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 64 of size 4096
2025-07-23 13:40:05.072 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 65 of size 4096
2025-07-23 13:40:05.072 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 66 of size 4096
2025-07-23 13:40:05.072 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 67 of size 4096
2025-07-23 13:40:05.073 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 68 of size 4096
2025-07-23 13:40:05.073 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 69 of size 4096
2025-07-23 13:40:05.073 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 70 of size 4096
2025-07-23 13:40:05.074 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 71 of size 4096
2025-07-23 13:40:05.074 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 72 of size 4096
2025-07-23 13:40:05.074 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 73 of size 4096
2025-07-23 13:40:05.075 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 74 of size 4096
2025-07-23 13:40:05.075 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 75 of size 4096
2025-07-23 13:40:05.075 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 76 of size 4096
2025-07-23 13:40:05.075 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 77 of size 4096
2025-07-23 13:40:05.076 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 78 of size 4096
2025-07-23 13:40:05.076 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 79 of size 4096
2025-07-23 13:40:05.076 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 80 of size 4096
2025-07-23 13:40:05.076 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 81 of size 4096
2025-07-23 13:40:05.077 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 82 of size 4096
2025-07-23 13:40:05.077 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 83 of size 4096
2025-07-23 13:40:05.077 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 84 of size 4096
2025-07-23 13:40:05.077 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 85 of size 4096
2025-07-23 13:40:05.078 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 86 of size 4096
2025-07-23 13:40:05.078 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 87 of size 4096
2025-07-23 13:40:05.078 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 88 of size 4096
2025-07-23 13:40:05.079 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 89 of size 4096
2025-07-23 13:40:05.079 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 90 of size 4096
2025-07-23 13:40:05.080 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 91 of size 4096
2025-07-23 13:40:05.080 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 92 of size 4096
2025-07-23 13:40:05.080 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 93 of size 4096
2025-07-23 13:40:05.080 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 94 of size 4096
2025-07-23 13:40:05.081 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 95 of size 4096
2025-07-23 13:40:05.081 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 96 of size 4096
2025-07-23 13:40:05.081 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 97 of size 4096
2025-07-23 13:40:05.082 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 98 of size 4096
2025-07-23 13:40:05.082 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 99 of size 4096
2025-07-23 13:40:05.083 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 100 of size 4096
2025-07-23 13:40:05.083 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 101 of size 4096
2025-07-23 13:40:05.083 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 102 of size 4096
2025-07-23 13:40:05.084 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 103 of size 4096
2025-07-23 13:40:05.084 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 104 of size 4096
2025-07-23 13:40:05.084 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 105 of size 4096
2025-07-23 13:40:05.084 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 106 of size 4096
2025-07-23 13:40:05.085 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 107 of size 4096
2025-07-23 13:40:05.085 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 108 of size 4096
2025-07-23 13:40:05.085 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 109 of size 4096
2025-07-23 13:40:05.085 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 110 of size 4096
2025-07-23 13:40:05.086 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 111 of size 4096
2025-07-23 13:40:05.086 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 112 of size 4096
2025-07-23 13:40:05.087 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 113 of size 4096
2025-07-23 13:40:05.087 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 114 of size 4096
2025-07-23 13:40:05.087 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 115 of size 4096
2025-07-23 13:40:05.088 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 116 of size 4096
2025-07-23 13:40:05.088 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 117 of size 4096
2025-07-23 13:40:05.089 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 118 of size 4096
2025-07-23 13:40:05.089 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 119 of size 4096
2025-07-23 13:40:05.089 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 120 of size 4096
2025-07-23 13:40:05.090 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 121 of size 4096
2025-07-23 13:40:05.090 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 122 of size 4096
2025-07-23 13:40:05.102 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 123 of size 4096
2025-07-23 13:40:05.102 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 124 of size 4096
2025-07-23 13:40:05.103 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 125 of size 4096
2025-07-23 13:40:05.103 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 126 of size 4096
2025-07-23 13:40:05.103 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 127 of size 4096
2025-07-23 13:40:05.104 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 128 of size 4096
2025-07-23 13:40:05.104 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 129 of size 4096
2025-07-23 13:40:05.104 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 130 of size 4096
2025-07-23 13:40:05.105 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 131 of size 4096
2025-07-23 13:40:05.105 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 132 of size 4096
2025-07-23 13:40:05.105 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 133 of size 4096
2025-07-23 13:40:05.105 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 134 of size 4096
2025-07-23 13:40:05.106 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 135 of size 4096
2025-07-23 13:40:05.106 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 136 of size 4096
2025-07-23 13:40:05.106 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 137 of size 4096
2025-07-23 13:40:05.106 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 138 of size 4096
2025-07-23 13:40:05.107 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 139 of size 4096
2025-07-23 13:40:05.107 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 140 of size 4096
2025-07-23 13:40:05.107 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 141 of size 4096
2025-07-23 13:40:05.107 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 142 of size 4096
2025-07-23 13:40:05.108 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 143 of size 4096
2025-07-23 13:40:05.108 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 144 of size 4096
2025-07-23 13:40:05.110 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 145 of size 4096
2025-07-23 13:40:05.111 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 146 of size 4096
2025-07-23 13:40:05.112 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 147 of size 4096
2025-07-23 13:40:05.113 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 148 of size 4096
2025-07-23 13:40:05.113 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 149 of size 4096
2025-07-23 13:40:05.114 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 150 of size 4096
2025-07-23 13:40:05.114 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 151 of size 4096
2025-07-23 13:40:05.114 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 152 of size 4096
2025-07-23 13:40:05.115 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 153 of size 4096
2025-07-23 13:40:05.115 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 154 of size 4096
2025-07-23 13:40:05.115 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 155 of size 4096
2025-07-23 13:40:05.115 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 156 of size 4096
2025-07-23 13:40:05.115 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 157 of size 4096
2025-07-23 13:40:05.116 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 158 of size 4096
