2025-06-23 12:03:39.116 INFO [common.LoggingManager initialize] Logging system initialized
2025-06-23 12:03:39.153 INFO [client.ClientUI main] Starting Secure File Transfer Client application
2025-06-23 12:03:39.941 INFO [client.ClientUI lambda$main$21] Client UI initialized and displayed
2025-06-23 12:06:09.127 INFO [client.Client connect] Connected to server: localhost:9999
2025-06-23 12:06:09.128 INFO [common.LoggingManager logSecurity] [SECURITY] Established socket connection to localhost:9999
2025-06-23 12:06:09.128 INFO [common.LoggingManager logSecurity] [SECURITY] Creating user object with credentials for: Pramitha
2025-06-23 12:06:09.314 INFO [common.LoggingManager logSecurity] [SECURITY] Loading transfer history for user: Pramitha
2025-06-23 12:06:09.322 INFO [client.TransferHistory loadHistory] Loaded 1 transfer records from data/Pramitha_transfer_history.dat
2025-06-23 12:06:09.333 INFO [common.LoggingManager logTransfer] [TRANSFER:5a11da13-6931-4939-8172-7b1d673de1cd] Loaded transfer record: File: architecture.pdf, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 12:06:09.334 INFO [common.LoggingManager logSecurity] [SECURITY] Sending authentication request to server
2025-06-23 12:06:09.347 INFO [client.Client login] Logged in as: Pramitha
2025-06-23 12:06:09.348 INFO [common.LoggingManager logSecurity] [SECURITY] Authentication successful for user: Pramitha
2025-06-23 12:06:09.349 INFO [client.TransferHistory loadHistory] Loaded 1 transfer records from data/Pramitha_transfer_history.dat
2025-06-23 12:06:09.350 INFO [common.LoggingManager logTransfer] [TRANSFER:5a11da13-6931-4939-8172-7b1d673de1cd] Loaded transfer record: File: architecture.pdf, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 12:20:55.823 INFO [client.Client initiateFileTransfer] Using public key of receiver: Jayasooriya
2025-06-23 12:20:55.955 INFO [client.TransferHistory saveHistory] Transfer history saved to data/Pramitha_transfer_history.dat
2025-06-23 12:20:55.956 INFO [common.LoggingManager logTransfer] [TRANSFER:5a11da13-6931-4939-8172-7b1d673de1cd] Saved transfer record: File: architecture.pdf, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 12:20:55.956 INFO [common.LoggingManager logTransfer] [TRANSFER:37cab9bb-0adf-4697-816c-328e13f7637d] Saved transfer record: File: IMG_3095.jpg, Status: IN_PROGRESS, From: Pramitha, To: Jayasooriya
2025-06-23 12:20:55.964 INFO [common.LoggingManager logTransfer] [TRANSFER:37cab9bb-0adf-4697-816c-328e13f7637d] Starting file transfer: File: IMG_3095.jpg, Size: 1637975 bytes
2025-06-23 12:20:55.983 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 19 of size 4096
2025-06-23 12:20:55.984 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 20 of size 4096
2025-06-23 12:20:55.984 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 21 of size 4096
2025-06-23 12:20:55.984 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 22 of size 4096
2025-06-23 12:20:55.985 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 23 of size 4096
2025-06-23 12:20:55.985 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 24 of size 4096
2025-06-23 12:20:55.986 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 25 of size 4096
2025-06-23 12:20:55.986 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 26 of size 4096
2025-06-23 12:20:55.988 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 27 of size 4096
2025-06-23 12:20:55.988 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 28 of size 4096
2025-06-23 12:20:55.989 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 29 of size 4096
2025-06-23 12:20:55.989 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 30 of size 4096
2025-06-23 12:20:55.990 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 31 of size 4096
2025-06-23 12:20:55.990 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 32 of size 4096
2025-06-23 12:20:55.991 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 33 of size 4096
2025-06-23 12:20:55.991 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 34 of size 4096
2025-06-23 12:20:55.991 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 35 of size 4096
2025-06-23 12:20:55.992 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 36 of size 4096
2025-06-23 12:20:55.992 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 37 of size 4096
2025-06-23 12:20:55.993 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 38 of size 4096
2025-06-23 12:20:55.993 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 39 of size 4096
2025-06-23 12:20:55.993 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 40 of size 4096
2025-06-23 12:20:55.994 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 41 of size 4096
2025-06-23 12:20:55.994 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 42 of size 4096
2025-06-23 12:20:55.994 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 43 of size 4096
2025-06-23 12:20:55.995 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 44 of size 4096
2025-06-23 12:20:55.995 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 45 of size 4096
2025-06-23 12:20:55.995 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 46 of size 4096
2025-06-23 12:20:55.996 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 47 of size 4096
2025-06-23 12:20:55.996 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 48 of size 4096
2025-06-23 12:20:55.996 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 49 of size 4096
2025-06-23 12:20:55.997 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 50 of size 4096
2025-06-23 12:20:55.997 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 51 of size 4096
2025-06-23 12:20:55.997 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 52 of size 4096
2025-06-23 12:20:55.997 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 53 of size 4096
2025-06-23 12:20:55.998 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 54 of size 4096
2025-06-23 12:20:55.998 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 55 of size 4096
2025-06-23 12:20:55.999 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 56 of size 4096
2025-06-23 12:20:55.999 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 57 of size 4096
2025-06-23 12:20:55.999 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 58 of size 4096
2025-06-23 12:20:56.000 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 59 of size 4096
2025-06-23 12:20:56.001 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 60 of size 4096
2025-06-23 12:20:56.001 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 61 of size 4096
2025-06-23 12:20:56.001 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 62 of size 4096
2025-06-23 12:20:56.002 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 63 of size 4096
2025-06-23 12:20:56.002 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 64 of size 4096
2025-06-23 12:20:56.003 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 65 of size 4096
2025-06-23 12:20:56.003 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 66 of size 4096
2025-06-23 12:20:56.003 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 67 of size 4096
2025-06-23 12:20:56.003 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 68 of size 4096
2025-06-23 12:20:56.004 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 69 of size 4096
2025-06-23 12:20:56.004 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 70 of size 4096
2025-06-23 12:20:56.004 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 71 of size 4096
2025-06-23 12:20:56.004 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 72 of size 4096
2025-06-23 12:20:56.005 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 73 of size 4096
2025-06-23 12:20:56.005 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 74 of size 4096
2025-06-23 12:20:56.005 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 75 of size 4096
2025-06-23 12:20:56.006 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 76 of size 4096
2025-06-23 12:20:56.006 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 77 of size 4096
2025-06-23 12:20:56.006 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 78 of size 4096
2025-06-23 12:20:56.007 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 79 of size 4096
2025-06-23 12:20:56.007 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 80 of size 4096
2025-06-23 12:20:56.007 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 81 of size 4096
2025-06-23 12:20:56.008 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 82 of size 4096
2025-06-23 12:20:56.008 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 83 of size 4096
2025-06-23 12:20:56.008 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 84 of size 4096
2025-06-23 12:20:56.009 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 85 of size 4096
2025-06-23 12:20:56.009 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 86 of size 4096
2025-06-23 12:20:56.010 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 87 of size 4096
2025-06-23 12:20:56.011 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 88 of size 4096
2025-06-23 12:20:56.011 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 89 of size 4096
2025-06-23 12:20:56.012 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 90 of size 4096
2025-06-23 12:20:56.013 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 91 of size 4096
2025-06-23 12:20:56.013 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 92 of size 4096
2025-06-23 12:20:56.013 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 93 of size 4096
2025-06-23 12:20:56.013 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 94 of size 4096
2025-06-23 12:20:56.014 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 95 of size 4096
2025-06-23 12:20:56.014 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 96 of size 4096
2025-06-23 12:20:56.014 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 97 of size 4096
2025-06-23 12:20:56.014 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 98 of size 4096
2025-06-23 12:20:56.014 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 99 of size 4096
2025-06-23 12:20:56.015 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 100 of size 4096
2025-06-23 12:20:56.015 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 101 of size 4096
2025-06-23 12:20:56.015 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 102 of size 4096
2025-06-23 12:20:56.015 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 103 of size 4096
2025-06-23 12:20:56.016 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 104 of size 4096
2025-06-23 12:20:56.016 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 105 of size 4096
2025-06-23 12:20:56.017 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 106 of size 4096
2025-06-23 12:20:56.017 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 107 of size 4096
2025-06-23 12:20:56.017 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 108 of size 4096
2025-06-23 12:20:56.017 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 109 of size 4096
2025-06-23 12:20:56.018 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 110 of size 4096
2025-06-23 12:20:56.018 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 111 of size 4096
2025-06-23 12:20:56.018 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 112 of size 4096
2025-06-23 12:20:56.018 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 113 of size 4096
2025-06-23 12:20:56.019 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 114 of size 4096
2025-06-23 12:20:56.019 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 115 of size 4096
2025-06-23 12:20:56.019 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 116 of size 4096
2025-06-23 12:20:56.020 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 117 of size 4096
2025-06-23 12:20:56.020 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 118 of size 4096
2025-06-23 12:20:56.020 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 119 of size 4096
2025-06-23 12:20:56.020 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 120 of size 4096
2025-06-23 12:20:56.021 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 121 of size 4096
2025-06-23 12:20:56.021 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 122 of size 4096
2025-06-23 12:20:56.021 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 123 of size 4096
2025-06-23 12:20:56.021 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 124 of size 4096
2025-06-23 12:20:56.021 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 125 of size 4096
2025-06-23 12:20:56.022 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 126 of size 4096
2025-06-23 12:20:56.022 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 127 of size 4096
2025-06-23 12:20:56.023 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 128 of size 4096
2025-06-23 12:20:56.023 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 129 of size 4096
2025-06-23 12:20:56.023 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 130 of size 4096
2025-06-23 12:20:56.023 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 131 of size 4096
2025-06-23 12:20:56.023 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 132 of size 4096
2025-06-23 12:20:56.024 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 133 of size 4096
2025-06-23 12:20:56.024 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 134 of size 4096
2025-06-23 12:20:56.025 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 135 of size 4096
2025-06-23 12:20:56.025 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 136 of size 4096
2025-06-23 12:20:56.025 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 137 of size 4096
2025-06-23 12:20:56.025 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 138 of size 4096
2025-06-23 12:20:56.025 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 139 of size 4096
2025-06-23 12:20:56.026 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 140 of size 4096
2025-06-23 12:20:56.026 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 141 of size 4096
2025-06-23 12:20:56.026 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 142 of size 4096
2025-06-23 12:20:56.026 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 143 of size 4096
2025-06-23 12:20:56.026 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 144 of size 4096
2025-06-23 12:20:56.027 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 145 of size 4096
2025-06-23 12:20:56.027 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 146 of size 4096
2025-06-23 12:20:56.027 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 147 of size 4096
2025-06-23 12:20:56.027 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 148 of size 4096
2025-06-23 12:20:56.027 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 149 of size 4096
2025-06-23 12:20:56.028 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 150 of size 4096
2025-06-23 12:20:56.028 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 151 of size 4096
2025-06-23 12:20:56.028 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 152 of size 4096
2025-06-23 12:20:56.028 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 153 of size 4096
2025-06-23 12:20:56.029 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 154 of size 4096
2025-06-23 12:20:56.029 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 155 of size 4096
2025-06-23 12:20:56.029 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 156 of size 4096
2025-06-23 12:20:56.029 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 157 of size 4096
2025-06-23 12:20:56.029 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 158 of size 4096
2025-06-23 12:20:56.030 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 159 of size 4096
2025-06-23 12:20:56.030 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 160 of size 4096
2025-06-23 12:20:56.030 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 161 of size 4096
2025-06-23 12:20:56.030 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 162 of size 4096
2025-06-23 12:20:56.031 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 163 of size 4096
2025-06-23 12:20:56.031 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 164 of size 4096
2025-06-23 12:20:56.031 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 165 of size 4096
2025-06-23 12:20:56.031 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 166 of size 4096
2025-06-23 12:20:56.031 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 167 of size 4096
2025-06-23 12:20:56.032 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 168 of size 4096
2025-06-23 12:20:56.032 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 169 of size 4096
2025-06-23 12:20:56.032 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 170 of size 4096
2025-06-23 12:20:56.032 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 171 of size 4096
2025-06-23 12:20:56.032 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 172 of size 4096
