2025-06-23 16:59:09.369 INFO [common.LoggingManager initialize] Logging system initialized
2025-06-23 16:59:09.407 INFO [client.ClientUI main] Starting Secure File Transfer Client application
2025-06-23 16:59:10.521 INFO [client.ClientUI lambda$main$21] Client UI initialized and displayed
2025-06-23 17:00:06.468 INFO [client.Client connect] Connected to server: localhost:9999
2025-06-23 17:00:06.469 INFO [common.LoggingManager logSecurity] [SECURITY] Established socket connection to localhost:9999
2025-06-23 17:00:06.470 INFO [common.LoggingManager logSecurity] [SECURITY] Creating user object with credentials for: Pramitha
2025-06-23 17:00:06.670 INFO [common.LoggingManager logSecurity] [SECURITY] Loading transfer history for user: Pramitha
2025-06-23 17:00:06.679 INFO [client.TransferHistory loadHistory] Loaded 3 transfer records from data/Pramitha_transfer_history.dat
2025-06-23 17:00:06.681 INFO [common.LoggingManager logTransfer] [TRANSFER:5a11da13-6931-4939-8172-7b1d673de1cd] Loaded transfer record: File: architecture.pdf, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 17:00:06.681 INFO [common.LoggingManager logTransfer] [TRANSFER:37cab9bb-0adf-4697-816c-328e13f7637d] Loaded transfer record: File: IMG_3095.jpg, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 17:00:06.681 INFO [common.LoggingManager logTransfer] [TRANSFER:a19afc1c-3084-4cda-9faa-3f762b19c509] Loaded transfer record: File: 36_Enhancing NS-3 for Distributed Network Simulation.pdf, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 17:00:06.682 INFO [common.LoggingManager logSecurity] [SECURITY] Sending authentication request to server
2025-06-23 17:00:06.689 INFO [client.Client login] Logged in as: Pramitha
2025-06-23 17:00:06.690 INFO [common.LoggingManager logSecurity] [SECURITY] Authentication successful for user: Pramitha
2025-06-23 17:00:06.691 INFO [client.TransferHistory loadHistory] Loaded 3 transfer records from data/Pramitha_transfer_history.dat
2025-06-23 17:00:06.691 INFO [common.LoggingManager logTransfer] [TRANSFER:5a11da13-6931-4939-8172-7b1d673de1cd] Loaded transfer record: File: architecture.pdf, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 17:00:06.692 INFO [common.LoggingManager logTransfer] [TRANSFER:37cab9bb-0adf-4697-816c-328e13f7637d] Loaded transfer record: File: IMG_3095.jpg, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 17:00:06.692 INFO [common.LoggingManager logTransfer] [TRANSFER:a19afc1c-3084-4cda-9faa-3f762b19c509] Loaded transfer record: File: 36_Enhancing NS-3 for Distributed Network Simulation.pdf, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 17:00:33.302 INFO [client.Client initiateFileTransfer] Using public key of receiver: Jayasooriya
2025-06-23 17:00:33.331 INFO [client.TransferHistory saveHistory] Transfer history saved to data/Pramitha_transfer_history.dat
2025-06-23 17:00:33.331 INFO [common.LoggingManager logTransfer] [TRANSFER:5a11da13-6931-4939-8172-7b1d673de1cd] Saved transfer record: File: architecture.pdf, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 17:00:33.332 INFO [common.LoggingManager logTransfer] [TRANSFER:37cab9bb-0adf-4697-816c-328e13f7637d] Saved transfer record: File: IMG_3095.jpg, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 17:00:33.333 INFO [common.LoggingManager logTransfer] [TRANSFER:a19afc1c-3084-4cda-9faa-3f762b19c509] Saved transfer record: File: 36_Enhancing NS-3 for Distributed Network Simulation.pdf, Status: COMPLETED, From: Pramitha, To: Jayasooriya
2025-06-23 17:00:33.333 INFO [common.LoggingManager logTransfer] [TRANSFER:3a112c56-de7a-44fd-a3a3-4cc86559f987] Saved transfer record: File: NS3_report_revised.pdf, Status: IN_PROGRESS, From: Pramitha, To: Jayasooriya
2025-06-23 17:00:33.337 INFO [common.LoggingManager logTransfer] [TRANSFER:3a112c56-de7a-44fd-a3a3-4cc86559f987] Starting file transfer: File: NS3_report_revised.pdf, Size: 1044455 bytes
2025-06-23 17:00:33.362 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 30 of size 4096
2025-06-23 17:00:33.362 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 31 of size 4096
2025-06-23 17:00:33.363 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 32 of size 4096
2025-06-23 17:00:33.363 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 33 of size 4096
2025-06-23 17:00:33.363 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 34 of size 4096
2025-06-23 17:00:33.364 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 35 of size 4096
2025-06-23 17:00:33.364 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 36 of size 4096
2025-06-23 17:00:33.364 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 37 of size 4096
2025-06-23 17:00:33.365 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 38 of size 4096
2025-06-23 17:00:33.365 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 39 of size 4096
2025-06-23 17:00:33.365 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 40 of size 4096
2025-06-23 17:00:33.365 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 41 of size 4096
2025-06-23 17:00:33.366 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 42 of size 4096
2025-06-23 17:00:33.366 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 43 of size 4096
2025-06-23 17:00:33.366 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 44 of size 4096
2025-06-23 17:00:33.367 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 45 of size 4096
2025-06-23 17:00:33.367 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 46 of size 4096
2025-06-23 17:00:33.367 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 47 of size 4096
2025-06-23 17:00:33.368 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 48 of size 4096
2025-06-23 17:00:33.368 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 49 of size 4096
2025-06-23 17:00:33.369 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 50 of size 4096
2025-06-23 17:00:33.369 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 51 of size 4096
2025-06-23 17:00:33.370 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 52 of size 4096
2025-06-23 17:00:33.370 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 53 of size 4096
2025-06-23 17:00:33.371 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 54 of size 4096
2025-06-23 17:00:33.371 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 55 of size 4096
2025-06-23 17:00:33.371 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 56 of size 4096
2025-06-23 17:00:33.372 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 57 of size 4096
2025-06-23 17:00:33.372 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 58 of size 4096
2025-06-23 17:00:33.372 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 59 of size 4096
2025-06-23 17:00:33.373 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 60 of size 4096
2025-06-23 17:00:33.373 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 61 of size 4096
2025-06-23 17:00:33.373 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 62 of size 4096
2025-06-23 17:00:33.373 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 63 of size 4096
2025-06-23 17:00:33.374 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 64 of size 4096
2025-06-23 17:00:33.375 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 65 of size 4096
2025-06-23 17:00:33.375 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 66 of size 4096
2025-06-23 17:00:33.375 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 67 of size 4096
2025-06-23 17:00:33.375 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 68 of size 4096
2025-06-23 17:00:33.376 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 69 of size 4096
2025-06-23 17:00:33.376 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 70 of size 4096
2025-06-23 17:00:33.376 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 71 of size 4096
2025-06-23 17:00:33.377 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 72 of size 4096
2025-06-23 17:00:33.377 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 73 of size 4096
2025-06-23 17:00:33.377 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 74 of size 4096
2025-06-23 17:00:33.377 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 75 of size 4096
2025-06-23 17:00:33.378 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 76 of size 4096
2025-06-23 17:00:33.378 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 77 of size 4096
2025-06-23 17:00:33.378 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 78 of size 4096
2025-06-23 17:00:33.379 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 79 of size 4096
2025-06-23 17:00:33.379 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 80 of size 4096
2025-06-23 17:00:33.379 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 81 of size 4096
2025-06-23 17:00:33.379 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 82 of size 4096
2025-06-23 17:00:33.380 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 83 of size 4096
2025-06-23 17:00:33.380 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 84 of size 4096
2025-06-23 17:00:33.380 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 85 of size 4096
2025-06-23 17:00:33.381 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 86 of size 4096
2025-06-23 17:00:33.381 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 87 of size 4096
2025-06-23 17:00:33.381 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 88 of size 4096
2025-06-23 17:00:33.381 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 89 of size 4096
2025-06-23 17:00:33.382 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 90 of size 4096
2025-06-23 17:00:33.382 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 91 of size 4096
2025-06-23 17:00:33.382 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 92 of size 4096
2025-06-23 17:00:33.383 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 93 of size 4096
2025-06-23 17:00:33.383 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 94 of size 4096
2025-06-23 17:00:33.383 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 95 of size 4096
2025-06-23 17:00:33.383 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 96 of size 4096
2025-06-23 17:00:33.384 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 97 of size 4096
2025-06-23 17:00:33.384 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 98 of size 4096
2025-06-23 17:00:33.384 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 99 of size 4096
2025-06-23 17:00:33.385 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 100 of size 4096
2025-06-23 17:00:33.385 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 101 of size 4096
2025-06-23 17:00:33.385 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 102 of size 4096
2025-06-23 17:00:33.385 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 103 of size 4096
2025-06-23 17:00:33.386 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 104 of size 4096
2025-06-23 17:00:33.386 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 105 of size 4096
2025-06-23 17:00:33.386 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 106 of size 4096
2025-06-23 17:00:33.386 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 107 of size 4096
2025-06-23 17:00:33.387 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 108 of size 4096
2025-06-23 17:00:33.387 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 109 of size 4096
2025-06-23 17:00:33.387 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 110 of size 4096
2025-06-23 17:00:33.388 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 111 of size 4096
2025-06-23 17:00:33.388 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 112 of size 4096
2025-06-23 17:00:33.388 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 113 of size 4096
2025-06-23 17:00:33.388 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 114 of size 4096
2025-06-23 17:00:33.389 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 115 of size 4096
2025-06-23 17:00:33.389 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 116 of size 4096
2025-06-23 17:00:33.389 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 117 of size 4096
2025-06-23 17:00:33.389 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 118 of size 4096
2025-06-23 17:00:33.390 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 119 of size 4096
2025-06-23 17:00:33.390 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 120 of size 4096
2025-06-23 17:00:33.390 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 121 of size 4096
2025-06-23 17:00:33.390 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 122 of size 4096
2025-06-23 17:00:33.391 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 123 of size 4096
2025-06-23 17:00:33.391 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 124 of size 4096
2025-06-23 17:00:33.391 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 125 of size 4096
2025-06-23 17:00:33.392 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 126 of size 4096
2025-06-23 17:00:33.392 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 127 of size 4096
2025-06-23 17:00:33.392 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 128 of size 4096
2025-06-23 17:00:33.393 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 129 of size 4096
2025-06-23 17:00:33.393 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 130 of size 4096
2025-06-23 17:00:33.393 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 131 of size 4096
2025-06-23 17:00:33.393 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 132 of size 4096
2025-06-23 17:00:33.393 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 133 of size 4096
2025-06-23 17:00:33.394 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 134 of size 4096
2025-06-23 17:00:33.394 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 135 of size 4096
2025-06-23 17:00:33.394 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 136 of size 4096
2025-06-23 17:00:33.394 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 137 of size 4096
2025-06-23 17:00:33.395 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 138 of size 4096
2025-06-23 17:00:33.395 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 139 of size 4096
2025-06-23 17:00:33.395 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 140 of size 4096
2025-06-23 17:00:33.395 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 141 of size 4096
2025-06-23 17:00:33.395 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 142 of size 4096
2025-06-23 17:00:33.396 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 143 of size 4096
2025-06-23 17:00:33.396 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 144 of size 4096
2025-06-23 17:00:33.396 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 145 of size 4096
2025-06-23 17:00:33.396 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 146 of size 4096
2025-06-23 17:00:33.396 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 147 of size 4096
2025-06-23 17:00:33.397 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 148 of size 4096
2025-06-23 17:00:33.397 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 149 of size 4096
